NZ_CP012541.1 Campylobacter concisus strain ATCC 33237 chromosome, complete genome 
NZ_CP012689.1 Campylobacter jejuni subsp. jejuni strain RM3197 chromosome, complete genome 
NZ_CP012696.1 Campylobacter jejuni strain RM1285 chromosome, complete genome 
NZ_CP013032.1 Campylobacter coli strain CO2-160 genome 
NZ_CP013034.1 Campylobacter coli strain HC2-48 chromosome, complete genome 
NZ_CP013036.1 Campylobacter coli strain CF2-75 genome 
NZ_CP013116.1 Campylobacter jejuni strain T1-21 genome 
NZ_LN831025.1 Campylobacter jejuni strain NCTC11351 chromosome 1, complete sequence 
NZ_CP013733.1 Campylobacter coli strain OR12 chromosome, complete genome 
NZ_CP010995.1 Campylobacter iguaniorum strain 2463D chromosome, complete genome 
NZ_CP010953.1 Campylobacter fetus subsp. testudinum Sp3 chromosome, complete genome 
NZ_CP010471.1 Campylobacter jejuni strain CJ677CC519 chromosome, complete genome 
NZ_CP010472.1 Campylobacter jejuni strain CJ677CC002 chromosome, complete genome 
NZ_CP010473.1 Campylobacter jejuni strain CJ677CC534 chromosome, complete genome 
NZ_CP010474.1 Campylobacter jejuni strain CJ677CC536 chromosome, complete genome 
NZ_CP010475.1 Campylobacter jejuni strain CJ677CC073 chromosome, complete genome 
NZ_CP010476.1 Campylobacter jejuni strain CJ677CC521 chromosome, complete genome 
NZ_CP010477.1 Campylobacter jejuni strain CJ677CC526 chromosome, complete genome 
NZ_CP010479.1 Campylobacter jejuni strain CJ677CC036 chromosome, complete genome 
NZ_CP010480.1 Campylobacter jejuni strain CJ677CC524 chromosome, complete genome 
NZ_CP059439.1 Campylobacter fetus strain CFV08A1102-42A chromosome, complete genome 
NZ_CP059974.1 Campylobacter fetus strain CFF02A725-35A chromosome, complete genome 
NZ_CP059443.1 Campylobacter fetus strain CFF00A031 chromosome, complete genome 
NZ_CP059432.1 Campylobacter fetus strain CFViADRI1362 chromosome, complete genome 
NZ_CP059445.1 Campylobacter fetus strain CFF09A980 chromosome, complete genome 
NZ_CP059441.1 Campylobacter fetus strain CFV08A948-2A chromosome, complete genome 
NZ_CP059437.1 Campylobacter fetus strain CFViADRI545 chromosome, complete genome 
NZ_CP048771.1 Campylobacter jejuni strain ZS007 chromosome, complete genome 
NZ_CP048756.1 Campylobacter jejuni strain ZS006 chromosome, complete genome 
NZ_CP048760.1 Campylobacter jejuni strain ZS005 chromosome, complete genome 
NZ_CP048761.1 Campylobacter jejuni strain ZS004 chromosome, complete genome 
NZ_CP048763.1 Campylobacter jejuni strain ZH006 chromosome, complete genome 
NZ_CP048767.1 Campylobacter jejuni strain ZJB021 chromosome, complete genome 
NZ_CP050963.1 Campylobacter ureolyticus strain FDAARGOS_673 chromosome 
NZ_CP040613.1 Campylobacter sp. CFSAN093246 chromosome, complete genome 
NZ_CP040612.1 Campylobacter sp. CFSAN093241 chromosome, complete genome 
NZ_CP040615.1 Campylobacter sp. CFSAN093256 chromosome, complete genome 
NZ_CP040617.1 Campylobacter sp. CFSAN093259 chromosome, complete genome 
NZ_CP040618.1 Campylobacter sp. CFSAN093260 chromosome, complete genome 
NZ_CP040607.1 Campylobacter sp. CFSAN093224 chromosome, complete genome 
NZ_CP040608.1 Campylobacter sp. CFSAN093226 chromosome, complete genome 
NZ_CP040610.1 Campylobacter sp. CFSAN093227 chromosome, complete genome 
NZ_CP040611.1 Campylobacter sp. CFSAN093238 chromosome, complete genome 
NZ_CP053659.1 Campylobacter jejuni strain 2016-IZSVE-19-111250 chromosome, complete genome 
NZ_CP035946.1 Campylobacter canadensis strain LMG 24001 chromosome, complete genome 
NZ_CP053848.1 Campylobacter ornithocola strain LMG 29815 chromosome, complete genome 
NZ_CP053842.1 Campylobacter corcagiensis strain LMG 27932 chromosome, complete genome 
NZ_CP053844.1 Campylobacter geochelonis strain LMG 29375 chromosome, complete genome 
