user_genome	closest_placement_reference
PID-1214-EPA097-1__71818	s__Campylobacter_D jejuni
PID-1150-22EPA088CP10__69277	s__Campylobacter_D jejuni
PID-0657-20EPA027CP4__51296	s__Campylobacter_D coli
PID-0444-20EPA015CP12__43882	s__Campylobacter_D jejuni
PID-0836-21EPA050CF3__57730	s__Campylobacter_D jejuni
PID-1108-22EPA078CP18__67542	s__Campylobacter_D jejuni
PID-0444-20EPA011CP2__43915	s__Campylobacter_D jejuni
PID-0657-20EPA027CF12__51335	s__Campylobacter_D coli
PID-0818-21EPA041CF3__56475	s__Campylobacter_D jejuni
PID-1250-22EPA080CP6__74241	s__Campylobacter_D jejuni
PID-0836-21EPA049CP7__57729	s__Campylobacter_D jejuni
PID-0657-20EPA027CF9__51321	s__Campylobacter_D coli
PID-1150-22EPA088CP8__69301	s__Campylobacter_D jejuni
PID-0444-20EPA015CP9__43873	s__Campylobacter_D jejuni
PID-1150-22EPA088CP11__69349	s__Campylobacter_D jejuni
PID-0915-21EPA034CP7__60038	s__Campylobacter_D jejuni
PID-1108-22EPA079CP11__67557	s__Campylobacter_D jejuni
PID-0444-20EPA015CP7__43957	s__Campylobacter_D jejuni
PID-1250-22EPA083CP1__74243	s__Campylobacter_D jejuni
PID-1291-22EPA077CP1__76358	s__Campylobacter_D jejuni
PID-0477-20EPA017CP7__45295	s__Campylobacter_D jejuni
PID-0444-20EPA015CF5__43937	s__Campylobacter_D jejuni
PID-1250-22EPA083CP11__74232	s__Campylobacter_D jejuni
PID-0836-21EPA050CP3__57798	s__Campylobacter_D jejuni
PID-0836-21EPA049CF6__57784	s__Campylobacter_D jejuni
PID-0477-20EPA017CF11__45274	s__Campylobacter_D jejuni
PID-0444-20EPA015CF11__43932	s__Campylobacter_D jejuni
PID-0444-20EPA011CF1__43891	s__Campylobacter_D jejuni
PID-0836-21EPA049CF4__57738	s__Campylobacter_D jejuni
PID-1150-22EPA087CP18__69333	s__Campylobacter_D coli
PID-0666-21EPA039CP14__52179	s__Campylobacter_D jejuni
